id,start_node,end_node,lbl,source_idx,target_idx,label_encoded
E_24f9326c-6b65-5245-a6b5-c3af8966c8e8,SENSORDATA_66498a10-ac48-5aab-b11d-a1008e9c2779,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_74f143a4-bbdf-5718-83c3-e3b23e1662d4,SENSORDATA_131df741-cef2-5247-9f83-d6d7914743fd,PLANT_7a6852d9-c1e0-4ec0-a031-69a34c406e2f,MEASURES,,,1
E_6c22fe16-549b-5ffe-be4f-18f77f687ee6,SENSORDATA_98d4844b-f2ed-57e3-932a-ab8239145089,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_2ffeaa0b-82ed-5e5d-b088-a672a5e9dfb7,SENSORDATA_4aff406c-ae0a-5ec6-956e-ee9f8346e759,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_93f895da-2af7-5054-98f3-a820ef956663,SENSORDATA_0a8bbde4-04a6-5164-a947-bc79551763e6,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_cb822d7d-f174-51f1-87ff-6f05ffdffb61,SENSORDATA_2bcb9f0b-9bbf-5529-a029-a4748da6cd01,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_ab7ae32c-bb36-5855-b241-dd18cc751ab0,SENSORDATA_af2cdf5e-bae4-564b-a539-4140132ddcb0,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_14efefbd-0e7b-564c-9c99-82794f5c6a9f,SENSORDATA_977e9d4f-4056-536e-8434-618f5fb0a7fb,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_d65136d9-102c-5b8d-8969-b76969ba19ac,SENSORDATA_e5391877-76dc-5300-b7bd-19a454a08fde,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_31a812e2-2e67-5745-8dcd-96fd5279cdd3,SENSORDATA_31f074ac-0bcd-50f8-b436-29083608c30e,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_d1327c6f-8310-58eb-8a90-e432f85cb6b2,SENSORDATA_c34322e0-02bc-5b37-9700-24f6b216af2b,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_824161f0-739e-5341-8eda-52674dd15c33,SENSORDATA_fff5af52-4a10-597f-9e11-050d9e811327,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_8c506b84-c956-514f-acd9-303b911b9b73,SENSORDATA_71cbd8ae-5275-5570-8210-a44234457f63,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_e3ff3b3c-c431-5634-83a0-51ce9a1eaf0d,SENSORDATA_9c514106-dcd8-565f-8761-ac13f438e070,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_210eabfd-bf98-5f12-96a1-4df7747a18b4,SENSORDATA_9b4449f4-d4e9-57b9-8b63-f7bec3d404ce,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_3ecd6d6c-24b1-56ea-b7e9-25b531f70e52,SENSORDATA_aa732faf-e15b-5be5-8ffc-0b1a58f65e11,PLANT_46c4a0ce-efe0-48f9-92a6-e16f11f440ce,MEASURES,,,1
E_f7eca5bb-6868-500c-a678-61d3a2e54c6f,SENSORDATA_b455dc71-0db7-54e5-87cb-3a95dd6f1b9b,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_47e55529-24b9-508c-8c28-f1853f76cc80,SENSORDATA_827b72c7-ec94-5648-a8c3-4683f87feea0,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_929fbfd2-130a-551c-b3e7-b47092a61c69,SENSORDATA_0c1b645f-db0d-5be8-8687-e16c93853b16,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_84c1cd8c-5acf-5a9c-ab95-82707c5e55b3,SENSORDATA_4a695710-ceaa-54a4-9e91-56577fbea375,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_00682978-01c3-5623-aa10-3838b694d386,SENSORDATA_388e97eb-3a23-5cb4-9688-ab3dd72fb490,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_c909f426-f492-5f14-8b54-f80c9e80bb0c,SENSORDATA_bf54ee30-f37d-5dc4-8cac-6a53891cc688,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_55d11b40-dd41-58b1-9237-ba1fa57a6b52,SENSORDATA_a0fb5334-83c7-5590-b57e-dd427ccafc36,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_ef7d3ab1-16ce-5bb5-b9da-0d0b7d54dc83,SENSORDATA_abd68d0c-9d14-50dc-a9f2-65e9491de851,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_cda2c749-7c4a-524b-8bd0-ffea49ef64cf,SENSORDATA_574baebf-7f83-5272-8d74-c21c682e78c1,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_53b49038-74b6-5925-a30c-9b9773a7b018,SENSORDATA_0f94323e-8347-5fdd-b9d6-397acf0fdb9d,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_6d2101b2-9643-5ea2-b956-33312e1cebb0,SENSORDATA_e87929e1-1d86-5eb2-85b8-b44ce1b79e9b,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_ebd6d535-0df8-5c61-94a8-7e1c2208b58e,SENSORDATA_cecbd302-06ed-5ef4-89c9-6f36bb027239,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_38845986-956f-572c-9b1c-b4aca87b8852,SENSORDATA_230b4bdc-1512-58d7-9246-4e009da220fc,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_44d8f5a5-a394-5760-aae4-5f54ee9b41c7,SENSORDATA_f17351bb-ee15-5cc6-a269-eb9f56303c51,PLANT_29b24e45-5e2f-48fc-81bf-0ce7428f7d1d,MEASURES,,,1
E_0982fb18-7e73-50e2-9a80-fb3caa3ca31e,SENSORDATA_076e3a68-9a72-5618-b97a-c9a4b13e6068,PLANT_6f5dbe0d-b7c4-4608-a511-a8cc521c40b8,MEASURES,,,1
E_8b3f500d-ba84-5bb0-a2ba-c461fba987ef,SENSORDATA_9ccc9cdf-fa49-5670-92de-836f626beca9,PLANT_6f5dbe0d-b7c4-4608-a511-a8cc521c40b8,MEASURES,,,1
E_ab7ba7fc-b0a7-5b02-9d5a-05e26ad01e44,SENSORDATA_2f3b362d-b791-53ff-9928-bcb36f54925b,PLANT_6f5dbe0d-b7c4-4608-a511-a8cc521c40b8,MEASURES,,,1
